n;cover time
350;7844648
350;6690801
350;10086369
400;501319
350;7170603
400;3005817
350;9402930
400;3058681
400;844335
400;3008239
350;15095444
350;6972706
400;9861712
400;4511535
350;8262729
350;8175201
400;6967487
400;30429
400;9670210
350;10581288
350;16664330
300;24567387
400;3300548
400;3399591
400;2595158
350;14094525
400;3621926
400;5774951
400;4555278
400;1772769
400;2333935
400;2075338
400;5812872
400;3871573
400;11883548
400;3892699
400;13064690
400;3175747
350;10825710
400;2007146
400;12320458
400;2651533
350;11188374
400;4200583
400;2609647
400;5094528
400;801351
400;963972
400;7815889
400;1138222
400;5065135
400;14141550
350;12476151
400;10099676
400;9199852
350;12799119
400;5011965
450;79760
400;2072250
350;14149134
400;1209227
400;4618976
400;2519889
400;3775454
400;24474106
400;10794992
400;1957031
400;10278637
450;3721361
450;2730462
450;1736841
400;3716116
450;1514030
400;5697114
450;70993
400;3120778
350;20189851
400;4192438
400;5607900
400;19167733
350;15796403
400;4475467
400;7816698
400;3086389
400;9916267
400;8004650
350;18853042
400;14516824
450;2776207
450;18485954
450;1569702
400;10350036
450;3602625
450;1193194
400;8928399
400;9054060
450;3600155
450;1306584
350;20776141
400;13466193
450;600224
450;2822084
350;17810940
450;2108918
450;1214687
450;10616618
400;12678120
450;481341
400;11627479
450;1304241
400;13300982
450;21266684
450;3225989
450;3748795
450;8955920
450;5091647
450;2406405
400;8901155
450;5492658
400;9326528
450;242621
450;16707
400;10482630
450;4963315
450;4058579
400;34437328
450;4095953
400;13422269
350;19642060
350;18706464
400;8942163
350;19497737
450;3436285
450;1803629
450;1250688
400;14842424
450;4971000
450;14624049
450;6194783
450;981143
450;2571211
450;1793450
450;2621487
450;7403395
450;1582886
450;1077069
450;1215404
450;2020620
450;422746
450;3869754
450;1628861
400;11205995
450;4010972
450;1413445
450;8227787
400;11804493
400;20073009
350;28670848
450;3047450
450;6539459
450;4435476
350;28804059
450;6671088
450;4085180
450;7255082
400;14826466
450;1620198
450;4187756
450;2036500
450;11161020
450;18841442
450;3078866
400;23587400
500;1324733
450;5064268
500;18993
500;1397811
400;17111758
500;2255648
450;4586514
450;7966499
450;11810851
450;6332792
500;1130549
500;3616194
450;18736318
400;27782904
500;3266444
500;1576047
450;10272639
450;9526548
400;19841855
500;5390649
450;10457860
500;8021067
500;5845341
450;15000633
450;11755981
500;1425371
500;6575858
450;11673222
500;1401972
500;5807724
500;9274774
500;10242212
500;4302386
500;10420072
500;12006932
450;11083245
500;7011257
500;13074843
450;19206907
500;1599040
500;9948648
500;1004525
450;18602981
500;2066173
500;7207131
450;22015505
450;13618157
500;15118300
450;23896213
500;3092310
500;1670432
500;6034752
500;10286334
500;446847
450;30462238
500;5596399
500;2811228
500;3522313
450;27210372
500;9502992
450;21077593
500;15861764
400;40908777
500;14907275
450;25373802
500;4304600
500;1685067
500;898652
500;13330352
500;5186681
500;21278044
500;12563372
500;4495009
500;15478775
450;34317683
500;1385988
400;34332960
500;2657067
500;8777196
500;22363675
500;6765338
500;12033592
500;9242539
500;22529372
500;11426863
500;22716568
500;6480513
500;11020268
450;22130633
500;18124630
500;10763651
550;1203123
500;12511738
500;7239672
500;20762731
500;24959011
500;18308968
500;21203606
550;3216413
500;14436180
450;30280549
500;25588416
450;49076821
500;16950218
550;5261859
550;9252106
500;24843351
550;7302653
500;43632748
500;15340155
550;632472
450;50184540
500;19375136
550;15425119
550;3158211
550;3196988
500;7997779
400;43786705
450;28724035
550;7347607
550;3020092
550;22712425
500;32675536
500;21334607
500;13696120
450;29017595
500;28028426
550;16550391
500;9914931
550;26012101
550;6444962
550;11516338
500;41037734
450;37058179
550;20503316
450;35650793
550;28300813
550;8371350
550;266489
550;14166843
550;22873098
550;11418297
550;5966373
450;36880829
500;28637369
500;17220908
500;16840999
550;4297893
500;51028518
550;13029238
550;29796684
500;21330606
400;55879009
550;281563
450;40660380
550;14073135
550;19283350
550;9518823
550;437709
550;10111412
550;21396988
550;34059384
550;2667787
550;6966372
550;14462091
550;3944840
550;4880691
550;778994
550;12520902
550;6681742
550;6921413
550;14939026
500;24246861
550;11826734
500;50046332
550;37670057
500;50455065
550;25950839
550;8973738
550;22278191
550;41880415
500;36127806
550;10464876
550;41819910
550;45610872
550;16524902
550;18081121
550;24410817
550;16852911
550;17679548
550;20469748
450;57082486
550;19358832
500;32970013
500;40470515
500;44820981
550;53385371
550;21900414
550;33669639
450;102775647
600;7121714
600;1630627
550;27289243
500;37510531
550;18767546
600;6275115
550;14547217
600;5497719
550;20930202
550;28692528
550;39906413
500;51297445
600;10751105
600;8516232
550;19291758
600;4417068
600;7304493
600;12211576
550;29620680
550;37714860
550;33947737
600;9765373
500;113449931
550;19271163
600;6145665
550;31100789
550;22395415
550;29651983
600;9808238
550;47587407
500;56408511
600;2826189
550;23551018
600;9657413
600;20281975
550;45264708
600;12162299
600;8394791
600;5385833
600;3867919
550;93209704
550;40535839
550;38299626
500;64308652
550;55226156
600;9880513
600;15628887
600;13191131
600;35218092
600;16451736
600;21632476
550;44353977
550;36394050
600;19030343
600;4419259
600;32916530
550;49254763
600;2137650
600;37873831
600;11395850
600;23453916
500;60655215
600;15408691
600;13604445
550;39102849
550;37355422
550;49609818
600;16608046
550;47926116
600;12811831
600;10562555
550;44110018
600;29169015
600;11011411
600;35175605
600;10114428
600;40625546
600;11154263
600;15043133
600;24108592
600;23385468
650;4841740
600;17721302
600;24138368
600;27678442
600;7203059
600;13853306
550;47337024
650;1385072
600;44029832
600;11174002
600;32175905
600;9632744
600;27390112
550;51982241
600;36180425
600;10304916
600;23991177
600;13070069
650;3608006
600;39256863
600;19146512
600;45983072
600;24562698
600;21840132
650;872412
600;26029876
600;17781540
600;33136757
600;46341273
600;28624428
650;6624726
600;13148742
600;33088636
600;24774490
650;14407594
650;17535668
650;8216825
600;42604426
650;689659
650;17920929
550;60216573
650;3605121
600;31026504
600;36231285
650;18625093
650;907094
650;11492711
650;7954035
600;45455523
550;95710554
600;85567913
650;29600628
600;59587882
600;27902480
600;29553117
650;4857499
600;39782580
650;17585531
600;31291721
650;18506273
600;54749484
650;25849593
650;19490763
650;43327088
600;79704573
600;68146592
550;90608239
600;90753299
600;32196332
650;30258916
600;53083504
650;16390264
650;15425253
600;63763885
650;11797886
600;92329314
650;10129896
650;1072168
600;50707701
650;28653838
600;58757550
650;33061223
650;21684911
650;30089542
650;44754683
650;2006679
650;43131078
650;8326950
650;8378023
650;45388455
650;4905815
650;39464848
650;61943395
650;37278420
650;28382026
600;68159425
650;16161150
650;7531704
600;73940480
650;30575744
650;24523549
600;59633831
650;4468198
650;33030568
650;20199308
650;84827545
650;11472229
650;26228931
700;6843404
650;43836484
600;67999305
650;32283117
550;117771397
650;42598561
700;1123215
700;1923711
600;117886600
650;11447013
650;54372548
700;6607791
650;33597664
650;26256214
650;25023846
650;34654633
650;50130644
650;70154991
650;27906536
700;17035231
650;44239950
650;24489489
700;11359129
700;2750405
650;50109511
700;15703848
700;6373071
650;32890324
700;15793013
650;63169929
700;13450479
700;15033368
650;62921501
700;26585144
600;115078901
700;5585336
600;106747630
700;7698931
650;82126155
650;75251678
650;30915296
650;60876616
700;4210018
700;4997171
700;36555298
650;76063352
650;60045006
700;582518
700;634885
650;63014758
650;63280890
700;20055151
700;9027394
700;33178138
650;46064256
700;11629908
700;8431850
700;7584840
700;31318688
700;24021459
700;4615914
700;5535677
700;18951324
700;50439484
650;61536440
700;29936521
650;72855938
650;93660986
700;15376430
650;88507543
700;18113377
650;101443850
650;89864299
650;69176325
700;781192
700;8038068
700;40038802
700;18274648
700;34562951
700;27648300
700;17994250
700;33691120
700;6833761
650;76845321
700;11676855
700;17366842
700;12124388
700;18906884
700;11288774
650;70936318
700;38609172
700;8387659
700;52154691
750;4904205
650;72580323
650;94858531
700;7907469
700;9216618
550;184715148
700;23218987
650;178912518
650;154128343
750;2619906
700;20218666
700;41258883
650;88420123
700;43605651
700;108652295
700;116493672
700;90076027
650;109035587
750;13890295
700;22641276
700;30587458
650;102846605
700;38753073
750;17250938
700;29817836
750;5012553
700;48420792
700;58060517
700;53450396
700;36154110
700;79198867
750;18389495
750;21346373
700;47289379
650;143495284
750;23258693
750;897934
750;45258531
750;24281074
700;33495421
750;22735155
700;71257801
700;80224805
700;76911694
750;60702541
700;95853201
750;8946010
750;34864907
750;28262593
700;43059947
750;22783611
750;28265514
750;18909923
700;110692885
700;79272219
700;68083300
750;29865951
700;98232259
750;82918160
700;98410925
750;12139320
650;145364373
750;26887676
750;39971376
750;13166715
750;45402904
750;23013112
700;155572208
750;25957385
750;5840032
700;131320083
750;19853277
750;5694091
750;2511185
750;28704836
750;40570465
750;385935
700;94096493
700;66776075
750;22807552
750;18999625
700;106478624
750;1632266
750;37045831
750;6297724
750;27853205
750;35954728
750;4978440
750;52807991
750;20408841
750;15609208
750;11189303
750;110748917
750;55896733
750;51837450
750;16089622
700;109043174
700;97325386
750;32090614
750;25921687
750;18306686
750;35384743
750;123064913
750;38103744
750;46305489
750;131315825
750;64790314
800;9179578
750;49045959
750;40962878
750;28737978
800;18122574
750;37865682
750;79049558
700;109761441
700;92368139
750;32082863
750;30526766
750;66763205
700;105361126
750;23166183
750;40934635
800;27509244
650;198710643
750;69392538
650;166210675
800;24485123
750;78538755
700;117348832
700;108977353
800;23964149
700;106084804
750;43553013
700;112696632
800;12565629
800;57999983
800;15629908
800;88455705
