n	liczbaPorównań	maksLiczbaPorównańDlaJednejOperacji	liczbaOdczytówIPodstawieńWskaźników	maksLiczbaOdczytówIPodstawień	średniaWysokośćDrzewaPoKażdejOperacji	maksWysokośćDrzewa
70000	4006206	77	3444641	52	35.1646	40
70000	4097305	79	3504118	51	36.3982	42
70000	3866711	71	3352281	50	33.5284	38
70000	3895980	75	3371492	54	34.8802	38
70000	4039784	83	3467466	54	38.3171	43
70000	3758420	71	3278227	49	32.469	36
70000	3739894	77	3267872	59	34.8976	41
70000	4045161	81	3472074	53	38.4663	42
70000	4015240	73	3451291	53	33.9588	38
70000	3821783	69	3319257	49	32.0029	36
70000	4058121	75	3480431	52	34.3455	38
70000	4008894	77	3445961	55	35.6043	40
70000	3927826	75	3394114	56	35.8552	39
70000	3941354	81	3403477	50	36.7987	42
80000	4913872	85	4163152	55	39.0633	43
80000	4785583	79	4075290	54	37.0227	41
80000	4695374	75	4014898	52	35.5585	40
80000	4374428	75	3801903	52	35.0964	39
80000	4638019	85	3976717	54	38.5731	43
80000	4561016	73	3926860	52	34.4595	38
80000	4392251	71	3815178	50	33.3087	37
80000	4853286	77	4123496	52	35.8185	40
80000	4660931	77	3992783	56	36.1897	41
80000	4416428	75	3830612	52	35.3671	39
80000	4526177	75	3905098	52	34.6317	38
80000	4476639	75	3867837	51	34.6788	39
80000	4862101	83	4125516	58	38.166	42
80000	4623325	75	3967683	53	34.8605	38
80000	4606508	79	3957075	54	38.3497	42
80000	4660396	77	3990044	55	36.446	40
80000	4477655	71	3869501	53	34.378	38
80000	4914324	79	4162024	55	38.7588	42
80000	4623987	81	3967002	56	37.8484	42
80000	4720267	77	4032681	53	36.2499	40
90000	5291573	83	4526281	59	38.1327	42
90000	5493772	79	4654810	57	37.8914	43
90000	5535314	81	4687369	55	37.1439	41
90000	5254515	81	4499013	54	37.0638	42
90000	5023490	75	4345414	52	35.3965	40
90000	5122795	77	4410280	52	36.529	42
90000	5186586	75	4454874	52	35.2126	38
90000	5082375	75	4382935	53	34.887	40
90000	5281441	85	4517123	59	39.5102	44
90000	5179918	75	4450553	52	35.6028	39
90000	5107082	79	4402934	55	36.2208	43
90000	5151926	83	4430101	55	40.1806	44
90000	5185486	73	4452516	53	35.5404	39
90000	5458179	79	4634677	54	36.7627	41
90000	5088774	73	4388280	53	34.7765	38
90000	5060224	73	4370394	55	35.6197	39
90000	5084871	73	4386450	51	33.6247	37
90000	5213998	75	4475368	54	36.1613	40
90000	4964910	75	4304048	53	34.4333	39
90000	5091733	71	4389596	55	33.9817	38
100000	5764422	73	4948599	53	35.8666	38
100000	6024497	79	5125868	56	38.3547	44
100000	5554843	71	4811337	53	34.248	38
100000	5881205	73	5026818	52	34.4733	38
100000	5749588	75	4939104	51	34.6427	39
100000	5725606	75	4924310	52	36.1601	39
100000	5652591	73	4872037	52	35.4071	40
100000	5857405	87	5012381	62	40.9145	45
100000	5777543	73	4957627	56	34.3465	38
100000	5795355	77	4971318	53	35.4362	40
100000	5936305	77	5063896	54	35.2798	39
100000	5848717	79	5005118	53	37.0936	41
100000	5741111	77	4934985	53	36.0341	39
100000	5633095	71	4862662	55	33.5413	38
100000	5633562	75	4861039	54	35.9856	41
100000	5726029	71	4926219	51	34.6046	37
100000	5903556	81	5042053	53	36.5212	41
100000	5887461	73	5032833	51	35.6247	39
100000	5661268	75	4881062	55	34.8066	39
100000	5757637	75	4947241	52	34.0195	39
