n	liczbaPorównań	maksLiczbaPorównańDlaJednejOperacji	liczbaOdczytówIPodstawieńWskaźników	maksLiczbaOdczytówIPodstawień	średniaWysokośćDrzewaPoKażdejOperacji	maksWysokośćDrzewa
10000	97710347	19801	73942617	10000	5000	10000
10000	98520821	19897	74347862	10000	5000	10000
10000	98006895	19917	74090883	10000	5000	10000
10000	98730031	19621	74452457	10000	5000	10000
10000	97913859	19967	74044367	10000	5000	10000
10000	98004615	19641	74089751	10000	5000	10000
10000	98897893	19787	74536382	10000	5000	10000
10000	98108851	19557	74141881	10000	5000	10000
10000	98288663	19881	74231781	10000	5000	10000
10000	98159895	19749	74167413	10000	5000	10000
10000	98200887	19423	74187905	10000	5000	10000
10000	98188603	19817	74181735	10000	5000	10000
10000	97768945	19779	73971912	10000	5000	10000
10000	98176653	19691	74175772	10000	5000	10000
10000	97741351	19797	73958111	10000	5000	10000
10000	97874405	19565	74024646	10000	5000	10000
10000	98026721	19747	74100802	10000	5000	10000
10000	98545063	19467	74359973	10000	5000	10000
10000	97966773	19639	74070830	10000	5000	10000
10000	98656185	19557	74415544	10000	5000	10000
20000	394191395	39803	297270637	20000	10000	20000
20000	390563455	39475	295456675	20000	10000	20000
20000	394092035	39341	297220959	20000	10000	20000
20000	391072447	39645	295711149	20000	10000	20000
20000	391371209	39697	295860554	20000	10000	20000
20000	392284643	39567	296317281	20000	10000	20000
20000	392772633	39517	296561258	20000	10000	20000
20000	390420189	39589	295385048	20000	10000	20000
20000	391326387	39211	295838121	20000	10000	20000
20000	392500403	39339	296425155	20000	10000	20000
20000	392161923	39729	296255897	20000	10000	20000
20000	392395603	39887	296372759	20000	10000	20000
20000	391424787	39601	295887347	20000	10000	20000
20000	393336269	39287	296843078	20000	10000	20000
20000	391561101	39713	295955478	20000	10000	20000
20000	393601587	39461	296975743	20000	10000	20000
20000	392333463	39671	296341685	20000	10000	20000
20000	392505503	39639	296427705	20000	10000	20000
20000	391653853	39877	296001864	20000	10000	20000
20000	391778323	39411	296064093	20000	10000	20000
30000	883646985	59865	667085928	30000	15000	30000
30000	880757825	59637	665641330	30000	15000	30000
30000	880746631	59245	665635745	30000	15000	30000
30000	885718777	59531	668121822	30000	15000	30000
30000	884321351	59227	667423105	30000	15000	30000
30000	882230997	59895	666377938	30000	15000	30000
30000	883026997	59227	666775916	30000	15000	30000
30000	879620539	59193	665072695	30000	15000	30000
30000	882674141	59465	666599506	30000	15000	30000
30000	883311585	59683	666918216	30000	15000	30000
30000	885831377	59509	668178110	30000	15000	30000
30000	884663011	59415	667593923	30000	15000	30000
30000	881761383	59349	666143111	30000	15000	30000
30000	880958699	59763	665741767	30000	15000	30000
30000	880788651	59445	665656753	30000	15000	30000
30000	881317999	59731	665921413	30000	15000	30000
30000	884311587	59591	667418213	30000	15000	30000
30000	885298919	59873	667911907	30000	15000	30000
30000	881011045	59253	665767960	30000	15000	30000
30000	880003759	59707	665264319	30000	15000	30000
40000	1568828979	79653	1184764427	40000	20000	40000
40000	1568686409	79551	1184693130	40000	20000	40000
40000	1570208699	79261	1185454267	40000	20000	40000
40000	1565182133	79539	1182941004	40000	20000	40000
40000	1574642423	79837	1187671129	40000	20000	40000
40000	1565356713	79111	1183028304	40000	20000	40000
40000	1567387563	79389	1184043723	40000	20000	40000
40000	1570180399	78819	1185440135	40000	20000	40000
40000	1566484013	78995	1183591934	40000	20000	40000
40000	1568860081	79693	1184779976	40000	20000	40000
40000	1567952323	79253	1184326091	40000	20000	40000
40000	1567530505	79295	1184115196	40000	20000	40000
40000	1568393851	79259	1184546855	40000	20000	40000
40000	1565788671	79703	1183244255	40000	20000	40000
40000	1570182835	79865	1185441319	40000	20000	40000
40000	1570626051	79481	1185662945	40000	20000	40000
40000	1570931383	79415	1185815611	40000	20000	40000
40000	1567960015	79585	1184329939	40000	20000	40000
40000	1569269485	79705	1184984698	40000	20000	40000
40000	1565557871	79037	1183128861	40000	20000	40000
50000	2449599721	99669	1850237266	50000	25000	50000
50000	2450473667	99557	1850674271	50000	25000	50000
50000	2453637689	98367	1852256278	50000	25000	50000
50000	2451898219	99295	1851386557	50000	25000	50000
50000	2451723505	99471	1851299182	50000	25000	50000
50000	2449442183	98865	1850158527	50000	25000	50000
50000	2453623857	98687	1852249364	50000	25000	50000
50000	2451356907	99293	1851115881	50000	25000	50000
50000	2444952129	98947	1847913480	50000	25000	50000
50000	2451699323	99365	1851287097	50000	25000	50000
50000	2455687935	98677	1853281417	50000	25000	50000
50000	2448981311	99389	1849928099	50000	25000	50000
50000	2454002747	99585	1852438819	50000	25000	50000
50000	2447435213	98525	1849155024	50000	25000	50000
50000	2448833677	99683	1849854286	50000	25000	50000
50000	2450764137	99757	1850819492	50000	25000	50000
50000	2452143983	99647	1851509421	50000	25000	50000
50000	2453587549	99253	1852231186	50000	25000	50000
50000	2455524121	99269	1853199488	50000	25000	50000
50000	2450491307	99233	1850683083	50000	25000	50000
60000	3534761339	119839	2667905607	60000	30000	60000
60000	3534326931	119287	2667688407	60000	30000	60000
60000	3523195447	119775	2662122669	60000	30000	60000
60000	3540674067	119393	2670861965	60000	30000	60000
60000	3517037909	119807	2659043894	60000	30000	60000
60000	3524189447	119853	2662619659	60000	30000	60000
60000	3525483415	118719	2663266643	60000	30000	60000
60000	3524539251	119445	2662794557	60000	30000	60000
60000	3531187235	119591	2666118559	60000	30000	60000
60000	3536258235	119375	2668654055	60000	30000	60000
60000	3537303549	119421	2669176702	60000	30000	60000
60000	3528839141	119301	2664944500	60000	30000	60000
60000	3523010533	119595	2662030212	60000	30000	60000
60000	3530870925	119405	2665960382	60000	30000	60000
60000	3529508109	119279	2665278986	60000	30000	60000
60000	3533159637	118735	2667104762	60000	30000	60000
60000	3537358189	119299	2669204034	60000	30000	60000
60000	3524673083	119809	2662861455	60000	30000	60000
60000	3539626017	119521	2670337950	60000	30000	60000
60000	3537191689	119359	2669120752	60000	30000	60000
70000	4816580659	139443	3633902773	70000	35000	70000
70000	4805287655	139073	3628256239	70000	35000	70000
70000	4806399555	139375	3628812209	70000	35000	70000
70000	4799283491	139739	3625254165	70000	35000	70000
70000	4810576843	139689	3630900857	70000	35000	70000
70000	4813008395	138883	3632116623	70000	35000	70000
70000	4802422539	139057	3626823685	70000	35000	70000
70000	4812795591	139651	3632010237	70000	35000	70000
70000	4810898805	139753	3631061826	70000	35000	70000
70000	4807259359	138827	3629242109	70000	35000	70000
70000	4811170605	139285	3631197732	70000	35000	70000
70000	4803203781	139343	3627214332	70000	35000	70000
70000	4799823387	139279	3625524131	70000	35000	70000
70000	4806540371	138691	3628882623	70000	35000	70000
70000	4796121349	139081	3623673108	70000	35000	70000
70000	4806923269	139343	3629074054	70000	35000	70000
70000	4803830519	138583	3627527667	70000	35000	70000
70000	4803660955	139605	3627442909	70000	35000	70000
70000	4809722483	139273	3630473685	70000	35000	70000
70000	4803401471	139539	3627313155	70000	35000	70000
80000	6280138515	158343	4740769173	80000	40000	80000
80000	6296546705	159335	4748973274	80000	40000	80000
80000	6291485743	159623	4746442779	80000	40000	80000
80000	6287365059	159175	4744382473	80000	40000	80000
80000	6278738367	159111	4740069103	80000	40000	80000
80000	6280432681	159885	4740916272	80000	40000	80000
80000	6282920511	157991	4742160185	80000	40000	80000
80000	6279602765	157981	4740501310	80000	40000	80000
80000	6280678863	158819	4741039361	80000	40000	80000
80000	6266256473	158855	4733828146	80000	40000	80000
80000	6265479975	158801	4733439901	80000	40000	80000
80000	6272060597	159547	4736730220	80000	40000	80000
80000	6275504393	159399	4738452134	80000	40000	80000
80000	6281001011	159193	4741200463	80000	40000	80000
80000	6283018407	159631	4742209101	80000	40000	80000
80000	6265941893	158959	4733670890	80000	40000	80000
80000	6283214807	159083	4742307335	80000	40000	80000
80000	6274366869	159741	4737883342	80000	40000	80000
80000	6286234779	159827	4743817325	80000	40000	80000
80000	6273754737	159481	4737577276	80000	40000	80000
90000	7943978293	179667	5997776572	90000	45000	90000
90000	7938620619	179207	5995097755	90000	45000	90000
90000	7939341843	178789	5995458349	90000	45000	90000
90000	7938503047	179041	5995038969	90000	45000	90000
90000	7948126697	179667	5999850760	90000	45000	90000
90000	7951456619	179381	6001515743	90000	45000	90000
90000	7945138839	179157	5998356867	90000	45000	90000
90000	7939297991	178291	5995436455	90000	45000	90000
90000	7936737069	179667	5994155968	90000	45000	90000
90000	7945105723	178271	5998340281	90000	45000	90000
90000	7960030047	178971	6005802443	90000	45000	90000
90000	7928182715	179469	5989878799	90000	45000	90000
90000	7940287405	179423	5995931070	90000	45000	90000
90000	7935150405	179081	5993362640	90000	45000	90000
90000	7957870129	178559	6004722490	90000	45000	90000
90000	7940231781	179033	5995903338	90000	45000	90000
90000	7939221235	179461	5995398027	90000	45000	90000
90000	7935186379	178793	5993380605	90000	45000	90000
90000	7939998465	179319	5995786668	90000	45000	90000
90000	7937141207	179475	5994358047	90000	45000	90000
100000	9836364031	198623	7419056921	100000	50000	100000
100000	9812484407	197983	7407117135	100000	50000	100000
100000	9808878625	199755	7405314230	100000	50000	100000
100000	9804039909	199023	7402894866	100000	50000	100000
100000	9807075253	198735	7404412544	100000	50000	100000
100000	9803372463	199023	7402561177	100000	50000	100000
100000	9774702949	198349	7388226394	100000	50000	100000
100000	9795959037	199097	7398854432	100000	50000	100000
100000	9816628425	198877	7409189148	100000	50000	100000
100000	9795721279	199359	7398735551	100000	50000	100000
100000	9807211289	197937	7404480590	100000	50000	100000
100000	9793902271	199431	7397826037	100000	50000	100000
100000	9795136273	199605	7398443072	100000	50000	100000
100000	9795424173	199227	7398587002	100000	50000	100000
100000	9829703971	198883	7415726915	100000	50000	100000
100000	9821801829	198511	7411775814	100000	50000	100000
100000	9805257027	198737	7403503413	100000	50000	100000
100000	9797556383	199023	7399653107	100000	50000	100000
100000	9791890139	199327	7396819989	100000	50000	100000
100000	9803353661	199031	7402551766	100000	50000	100000
