10;23;9
10;27;8
10;25;8
10;26;11
10;25;8
10;24;10
10;23;10
10;22;7
10;31;7
10;22;6
20;79;16
20;64;24
20;71;20
20;78;20
20;70;20
20;60;26
20;65;20
20;78;21
20;75;21
20;75;32
30;120;42
30;124;45
30;122;38
30;118;34
30;117;31
30;125;35
30;112;37
30;122;40
30;142;31
30;129;30
40;184;54
40;173;65
40;180;57
40;187;64
40;183;47
40;200;59
40;195;54
40;183;53
40;191;55
40;182;77
50;240;73
50;247;65
50;231;74
50;257;67
50;257;80
50;242;94
50;234;82
50;263;80
50;251;75
50;243;83
60;315;134
60;302;96
60;328;94
60;303;90
60;364;80
60;303;103
60;321;100
60;351;101
60;342;86
60;319;123
70;412;135
70;387;136
70;427;114
70;386;118
70;373;115
70;380;142
70;391;141
70;376;144
70;356;136
70;399;115
80;443;144
80;452;132
80;438;150
80;449;137
80;444;128
80;490;194
80;457;162
80;534;140
80;451;150
80;490;136
90;538;177
90;522;167
90;524;166
90;522;170
90;660;139
90;510;192
90;535;162
90;529;174
90;527;236
90;550;152
100;619;187
100;674;222
100;612;181
100;635;186
100;603;174
100;628;199
100;621;198
100;614;175
100;594;164
100;613;179
110;751;192
110;680;210
110;790;208
110;781;232
110;694;240
110;731;250
110;668;218
110;719;236
110;637;206
110;702;244
120;752;239
120;752;243
120;754;258
120;728;220
120;738;272
120;830;266
120;865;212
120;792;258
120;814;245
120;713;259
130;929;300
130;835;244
130;821;324
130;831;297
130;916;313
130;927;285
130;819;265
130;858;255
130;881;284
130;816;246
140;927;303
140;889;342
140;942;349
140;916;331
140;893;307
140;994;301
140;942;265
140;996;297
140;882;321
140;908;354
150;1069;319
150;988;345
150;990;371
150;1091;322
150;1212;294
150;1005;386
150;982;284
150;1093;317
150;1049;348
150;1097;383
160;1065;355
160;1217;333
160;1069;342
160;1066;403
160;1244;367
160;1268;365
160;1123;336
160;1295;330
160;1387;382
160;1056;378
170;1257;358
170;1231;352
170;1349;374
170;1194;363
170;1172;375
170;1191;331
170;1191;359
170;1262;358
170;1163;346
170;1162;380
180;1396;375
180;1264;406
180;1244;490
180;1261;505
180;1265;383
180;1326;522
180;1409;410
180;1624;325
180;1226;411
180;1234;370
190;1487;425
190;1367;558
190;1365;422
190;1436;474
190;1316;422
190;1398;418
190;1463;536
190;1480;372
190;1619;387
190;1355;459
200;1376;427
200;1558;448
200;1444;438
200;1449;466
200;1477;488
200;1450;443
200;1902;379
200;1539;426
200;1642;379
200;1412;473
1000;10191;3530
1000;11300;3570
1000;10235;2890
1000;11276;2864
1000;9973;2949
1000;10434;3133
1000;9683;3200
1000;10573;3287
1000;10201;2899
1000;11828;3700
2000;23313;7353
2000;23501;7146
2000;23319;7908
2000;22599;7345
2000;22791;7293
2000;23093;7620
2000;23397;6609
2000;22557;6792
2000;22553;7217
2000;23701;6800
3000;35827;11382
3000;39957;10259
3000;35239;12088
3000;38934;13517
3000;36802;12152
3000;37633;10266
3000;37337;11982
3000;37710;12584
3000;41158;10963
3000;36609;11211
4000;57064;16402
4000;49987;16109
4000;54211;14931
4000;53214;15568
4000;49979;15517
4000;52022;16212
4000;58323;21545
4000;50582;19201
4000;51117;17116
4000;53070;15504
5000;65205;19054
5000;66841;20709
5000;66777;21521
5000;67616;26380
5000;72194;20620
5000;66677;21841
5000;67731;18773
5000;71446;22225
5000;72448;24527
5000;68104;20610
6000;79235;26187
6000;80223;25830
6000;79239;26853
6000;85264;24877
6000;87039;26984
6000;80752;28395
6000;84772;25584
6000;85049;27141
6000;86003;26685
6000;82423;28929
7000;97561;33516
7000;97417;30092
7000;100089;31200
7000;96666;30312
7000;100288;31142
7000;96331;32353
7000;95397;30251
7000;95396;28694
7000;100192;31529
7000;98990;28353
8000;106624;35206
8000;116465;32548
8000;117333;38914
8000;119121;34591
8000;118696;35666
8000;110955;35412
8000;114030;34830
8000;114587;39013
8000;114946;33274
8000;112728;33122
9000;125849;39815
9000;132011;37535
9000;127551;46374
9000;125351;39503
9000;126811;44427
9000;125838;37896
9000;126038;40468
9000;134185;39009
9000;125373;41099
9000;126176;40266
10000;144674;46293
10000;143041;48850
10000;149162;48375
10000;143347;48535
10000;144403;49431
10000;143232;53379
10000;144933;46197
10000;143547;42123
10000;150252;46220
10000;141442;44760
11000;167838;47452
11000;165179;49084
11000;162368;48779
11000;174079;53138
11000;164946;52544
11000;166875;57050
11000;169707;59662
11000;163221;49607
11000;163137;52395
11000;159894;50267
12000;175390;53604
12000;177148;59985
12000;176332;56590
12000;177572;56931
12000;176027;53044
12000;182217;52290
12000;181145;51275
12000;174878;55198
12000;177361;57441
12000;175277;58797
13000;194850;65930
13000;193160;57781
13000;196934;64423
13000;191336;59893
13000;205055;60441
13000;206081;59940
13000;189883;64781
13000;212966;59367
13000;188612;62304
13000;208593;60919
14000;208056;63167
14000;209100;65771
14000;208391;65117
14000;244598;67965
14000;206405;71811
14000;209189;66436
14000;212229;64935
14000;204007;68097
14000;213257;76186
14000;210454;67476
15000;222530;70552
15000;238613;73274
15000;234135;72049
15000;221650;69502
15000;239174;73275
15000;233259;69206
15000;227643;74216
15000;232228;74747
15000;225398;69353
15000;225661;75628
16000;263966;79342
16000;256692;80398
16000;239851;78897
16000;244735;79538
16000;240283;75519
16000;244401;73685
16000;238671;76949
16000;245623;80755
16000;247364;82264
16000;246364;79692
17000;251729;81533
17000;264342;84418
17000;272098;77831
17000;261794;84532
17000;275252;80263
17000;258396;81799
17000;261342;97911
17000;263052;80380
17000;257513;79490
17000;259562;85775
18000;287485;93817
