n	czas	liczbaPorównań
1000	14096	1000000
1000	13860	1000000
1000	13810	1000000
1000	14026	1000000
1000	15202	1000000
1000	14099	1000000
1000	14071	1000000
1000	14096	1000000
1000	14031	1000000
1000	13556	1000000
1000	14597	1000000
1000	14223	1000000
1000	14468	1000000
1000	13938	1000000
1000	13654	1000000
1000	13949	1000000
1000	15067	1000000
1000	14129	1000000
1000	14046	1000000
1000	14198	1000000
1000	14279	1000000
1000	15539	1000000
1000	14435	1000000
1000	13873	1000000
1000	14492	1000000
1000	14168	1000000
1000	14028	1000000
1000	14242	1000000
1000	14691	1000000
1000	14188	1000000
1000	15130	1000000
1000	14211	1000000
1000	14496	1000000
1000	14250	1000000
1000	14486	1000000
1000	14356	1000000
1000	15607	1000000
1000	14470	1000000
1000	14675	1000000
1000	13766	1000000
1000	14465	1000000
1000	15229	1000000
1000	15862	1000000
1000	15773	1000000
1000	14228	1000000
1000	14389	1000000
1000	15279	1000000
1000	14482	1000000
1000	14000	1000000
1000	13944	1000000
1000	14186	1000000
1000	14354	1000000
1000	15031	1000000
1000	14100	1000000
1000	15147	1000000
1000	14597	1000000
1000	14189	1000000
1000	14409	1000000
1000	14003	1000000
1000	14808	1000000
1000	14507	1000000
1000	14198	1000000
1000	14648	1000000
1000	13926	1000000
1000	14376	1000000
1000	13639	1000000
1000	14271	1000000
1000	15330	1000000
1000	14400	1000000
1000	13947	1000000
1000	14226	1000000
1000	13908	1000000
1000	14495	1000000
1000	13917	1000000
1000	14032	1000000
1000	14604	1000000
1000	13839	1000000
1000	14520	1000000
1000	14085	1000000
1000	14013	1000000
1000	14680	1000000
1000	14746	1000000
1000	13997	1000000
1000	14360	1000000
1000	14152	1000000
1000	14321	1000000
1000	14358	1000000
1000	14425	1000000
1000	14011	1000000
1000	14582	1000000
1000	14952	1000000
1000	13961	1000000
1000	14794	1000000
1000	14663	1000000
1000	14740	1000000
1000	14516	1000000
1000	14216	1000000
1000	14673	1000000
1000	14427	1000000
1000	15960	1000000
1000	14064	1000000
1000	15418	1000000
1000	14263	1000000
1000	14862	1000000
1000	14027	1000000
1000	14105	1000000
1000	14752	1000000
1000	14573	1000000
1000	14120	1000000
1000	13956	1000000
1000	14889	1000000
1000	14406	1000000
1000	14587	1000000
1000	15209	1000000
1000	14029	1000000
1000	14166	1000000
1000	14373	1000000
1000	14446	1000000
1000	13966	1000000
1000	14720	1000000
1000	13905	1000000
1000	15286	1000000
1000	13852	1000000
1000	14107	1000000
1000	13966	1000000
1000	14378	1000000
1000	14286	1000000
1000	14365	1000000
1000	15068	1000000
1000	14259	1000000
1000	13795	1000000
1000	14266	1000000
1000	15091	1000000
1000	14452	1000000
1000	13979	1000000
