n	średniaLiczbaPorównań	maksLiczbaPorównańDlaJednejOperacji	średniaLiczbaOdczytówIPodstawieńWskaźników	maksLiczbaOdczytówIPodstawień	średniaWysokośćDrzewaPoKażdejOperacji	maksWysokośćDrzewa
10000	17.3073	31	27.9174	79	15.1188	17
10000	17.2686	31	27.9392	83	14.6856	16
10000	17.3043	31	27.9578	87	14.9663	16
10000	17.3509	33	28.042	80	15.3494	17
10000	17.3457	31	27.9759	78	15.0699	16
10000	17.2681	31	27.9707	86	14.8628	16
10000	17.241	31	28.0354	89	14.8987	16
10000	17.3105	31	27.8064	85	14.9209	16
10000	17.3333	31	27.9092	89	14.8875	16
10000	17.3004	31	27.8872	85	14.8381	16
10000	17.3382	33	28.0091	84	15.1364	17
10000	17.2643	31	27.9204	87	14.8432	16
10000	17.3348	31	28.0878	95	15.0126	16
10000	17.2998	31	27.9968	87	14.8964	16
10000	17.3016	31	27.904	83	14.8692	16
10000	17.4876	31	28.0089	85	15.1514	16
10000	17.3109	31	27.9209	86	14.8854	16
10000	17.2989	31	27.9714	77	14.9803	16
10000	17.2821	31	27.8268	87	14.8351	17
10000	17.3851	31	28.009	87	15.0742	17
20000	18.7933	33	28.9293	86	16.1002	17
20000	18.8235	35	28.9534	90	16.0908	18
20000	18.792	33	28.8896	89	15.9351	17
20000	18.7788	33	29.0364	84	16.0624	17
20000	18.8122	35	29.0054	102	16.2319	18
20000	18.8393	33	28.9474	87	16.1258	17
20000	18.7927	33	28.8954	88	15.9766	17
20000	18.7916	33	28.8584	81	16.0262	17
20000	18.921	35	29.0098	85	16.5238	18
20000	18.7881	33	28.983	91	16.0036	17
20000	18.7358	33	28.9206	85	15.9754	17
20000	18.8185	33	28.9386	80	16.2602	18
20000	18.8253	35	28.8489	92	16.4964	18
20000	18.7458	33	29.0093	91	15.9046	17
20000	18.7889	33	28.9054	90	16.1227	18
20000	18.83	33	29.0129	83	16.1679	17
20000	18.8102	33	28.8083	86	16.0027	17
20000	18.7776	35	28.8724	103	16.1872	18
20000	18.8861	33	28.9944	88	16.0062	18
20000	18.7622	33	28.954	93	15.966	17
30000	19.6936	35	29.5462	91	16.8844	18
30000	19.636	35	29.4836	100	16.8671	18
30000	19.6782	35	29.5234	91	16.8533	18
30000	19.7048	35	29.4913	88	16.8495	18
30000	19.7847	35	29.5812	87	16.9787	19
30000	19.7516	35	29.5117	87	16.9335	18
30000	19.7233	35	29.505	95	16.7748	18
30000	19.7151	35	29.6078	91	16.9322	18
30000	19.6739	35	29.4021	89	16.7886	18
30000	19.6787	35	29.4959	82	16.878	18
30000	19.6849	35	29.6143	85	16.8492	18
30000	19.7295	35	29.522	94	16.9335	18
30000	19.7778	35	29.5105	91	16.9356	18
30000	19.6809	35	29.4676	86	16.6962	18
30000	19.6435	35	29.4623	88	16.8099	18
30000	19.6534	35	29.4993	85	16.8522	18
30000	19.699	35	29.4849	91	16.8547	18
30000	19.7354	35	29.5649	86	16.964	18
30000	19.7125	35	29.5965	90	17.0525	18
30000	19.7732	37	29.5866	91	17.2639	19
40000	20.315	37	29.9972	93	17.4607	19
40000	20.3651	37	30.0013	91	17.4567	19
40000	20.4114	37	29.9893	90	17.7303	19
40000	20.3674	39	30.0078	94	17.4873	19
40000	20.3768	37	29.9671	90	17.5359	19
40000	20.3916	37	29.9533	90	17.7923	19
40000	20.3658	37	29.9691	90	17.3362	19
40000	20.3362	35	29.9508	87	17.2434	19
40000	20.3473	37	30.0187	90	17.4638	19
