n	średniaLiczbaPorównań	maksLiczbaPorównańDlaJednejOperacji	średniaLiczbaOdczytówIPodstawieńWskaźników	maksLiczbaOdczytówIPodstawień	średniaWysokośćDrzewaPoKażdejOperacji	maksWysokośćDrzewa
40000	20.3681	37	29.954	88	17.7026	19
40000	20.3639	37	29.9755	93	17.455	19
40000	20.2879	35	29.9357	91	17.1889	18
40000	20.3833	37	30.0585	90	17.5373	19
40000	20.3735	35	29.9837	93	17.3449	19
40000	20.3235	37	30.0151	91	17.4678	19
40000	20.327	37	29.9612	91	17.662	19
40000	20.3568	35	29.976	88	17.2994	19
40000	20.3769	37	30.0467	93	17.3486	19
40000	20.4324	37	30.0256	93	17.7872	19
40000	20.2823	35	30.0143	93	17.1334	18
50000	20.9108	37	30.3143	92	17.8756	19
50000	20.8543	37	30.3088	90	17.8236	19
50000	20.8413	37	30.2506	87	17.7258	19
50000	20.8044	37	30.2423	90	17.6231	19
50000	20.96	37	30.3991	91	17.9015	19
50000	20.8357	37	30.269	91	17.7879	19
50000	20.7756	37	30.3048	90	17.6292	19
50000	20.8805	37	30.3371	85	17.9223	19
50000	20.7845	37	30.2674	94	17.6089	19
50000	20.8978	37	30.2887	87	17.9701	19
50000	20.7922	37	30.2307	92	17.7422	19
50000	20.8606	37	30.3098	89	17.7836	19
50000	20.8257	37	30.2541	91	17.9339	19
50000	20.8623	37	30.2965	88	17.7467	19
50000	20.9094	37	30.3613	87	17.8561	19
50000	20.8068	37	30.2196	89	17.696	19
50000	20.8155	37	30.3212	96	17.9481	19
50000	20.7807	37	30.3173	90	17.7744	19
50000	20.8348	37	30.2864	96	17.8461	19
50000	20.7589	37	30.2164	92	17.8986	19
60000	21.2364	37	30.5343	91	18.0716	19
60000	21.2139	39	30.5422	91	18.0156	20
60000	21.2393	39	30.5704	90	18.2576	20
60000	21.2085	37	30.5917	97	18.0821	20
60000	21.2507	37	30.5852	93	18.1511	20
60000	21.2187	37	30.5497	92	18.0255	19
60000	21.2252	37	30.5768	95	18.104	19
60000	21.3047	39	30.6348	89	18.3271	20
60000	21.1859	37	30.5346	99	18.0513	19
60000	21.1789	37	30.5468	91	17.9583	19
60000	21.1656	37	30.5062	88	17.8048	19
60000	21.2394	37	30.6118	88	18.0329	19
60000	21.2095	37	30.5455	92	18.2688	20
60000	21.2327	37	30.595	91	18.0911	19
60000	21.1856	39	30.4971	94	17.8974	19
60000	21.3832	39	30.6212	92	18.5665	20
60000	21.2075	37	30.5594	88	17.9124	19
60000	21.1944	37	30.4568	89	18.0074	19
60000	21.2467	37	30.5786	101	18.0549	20
60000	21.1986	37	30.5452	102	18.0539	19
70000	21.5828	39	30.8376	91	18.5271	20
70000	21.5499	37	30.7322	91	18.2753	20
70000	21.5988	37	30.8102	88	18.2125	20
70000	21.5769	37	30.7681	93	18.6187	20
70000	21.6527	39	30.8674	89	18.6099	20
70000	21.5182	37	30.7207	92	18.1352	19
70000	21.5357	37	30.8057	95	18.2448	20
70000	21.5406	39	30.7394	96	18.4708	20
70000	21.5501	39	30.7648	93	18.4516	20
70000	21.6288	39	30.856	90	18.3798	20
70000	21.6265	39	30.8182	93	18.6721	20
70000	21.5717	39	30.7789	99	18.5131	20
70000	21.5786	39	30.7841	94	18.4426	20
70000	21.684	39	30.9101	95	18.731	20
70000	21.5974	39	30.7603	95	18.7037	20
70000	21.6117	39	30.841	94	18.4532	20
70000	21.4926	37	30.7319	91	18.1628	20
70000	21.5928	39	30.806	88	18.3388	20
70000	21.5936	39	30.7928	91	18.6282	20
70000	21.5418	39	30.7669	96	18.1775	20
80000	21.8588	39	30.9675	104	18.7948	20
80000	21.8276	39	30.9563	95	18.4216	20
80000	21.8199	39	30.972	101	18.4251	20
80000	21.8407	39	31.0003	92	18.5868	20
80000	21.8725	39	30.9672	92	18.8022	20
80000	21.863	39	31.0039	95	18.7655	20
80000	21.9111	41	31.0403	94	19.1498	21
80000	21.8906	39	31.0115	88	18.8459	20
80000	21.8658	39	30.9368	93	18.6308	20
80000	21.9164	39	31.0399	95	18.8859	20
80000	21.8456	39	30.959	92	18.685	20
80000	22.0096	39	31.0576	99	18.7512	20
80000	21.8447	39	30.9716	93	18.5906	20
80000	21.8767	39	30.9774	94	18.8214	20
80000	21.8304	39	30.9428	91	18.6371	20
80000	21.8648	39	30.9491	91	18.6987	20
80000	21.8061	39	30.9961	92	18.607	20
80000	21.8475	39	31.0657	94	18.4657	20
80000	21.9754	39	31.0317	93	18.7787	20
80000	21.8648	39	30.9743	93	18.6197	20
90000	22.103	39	31.1098	94	18.7059	20
90000	22.0598	39	31.1147	100	18.7991	20
90000	22.1302	39	31.1255	97	18.8519	20
90000	22.1417	39	31.1861	94	18.9389	20
90000	22.1731	39	31.1625	104	18.885	20
90000	22.0564	39	31.0746	94	18.7168	20
90000	22.0955	39	31.1495	91	18.7848	20
90000	22.251	39	31.2169	91	19.0291	20
90000	22.1551	39	31.1507	90	18.9169	20
90000	22.1223	39	31.188	93	18.9251	20
90000	22.1879	39	31.2101	92	18.8545	20
90000	22.1179	39	31.1925	94	18.8163	20
90000	22.1683	39	31.1877	94	18.977	20
90000	22.0945	41	31.1668	92	19.0444	20
90000	22.0816	39	31.1567	97	18.7426	20
90000	22.0752	39	31.1096	109	18.7419	20
90000	22.0966	39	31.1425	94	18.7784	20
90000	22.0598	39	31.1393	93	18.6468	20
90000	22.1438	39	31.1691	90	18.9827	20
90000	22.109	39	31.1689	93	18.826	20
100000	22.3629	39	31.2834	92	18.957	20
100000	22.2977	39	31.2588	93	18.9186	20
100000	22.3461	39	31.2611	93	19.0786	20
100000	22.4226	39	31.3607	98	19.0333	20
100000	22.3881	39	31.2753	98	18.9786	20
100000	22.4354	39	31.3977	96	19.2671	21
100000	22.3414	39	31.3099	91	18.9941	20
100000	22.4419	41	31.4072	96	19.3867	21
100000	22.3989	39	31.3339	90	19.0123	21
100000	22.3852	41	31.3286	99	19.1402	21
100000	22.3805	41	31.3314	98	19.2371	21
100000	22.3201	39	31.296	91	18.8481	20
100000	22.2948	39	31.2677	91	18.9021	20
100000	22.3306	39	31.305	96	18.9274	20
100000	22.497	41	31.4529	90	19.3056	21
100000	22.361	39	31.32	94	19.079	20
100000	22.3199	39	31.3493	96	18.8368	20
100000	22.3068	39	31.2799	96	18.8308	20
100000	22.3781	39	31.3205	103	18.9588	20
100000	22.3126	39	31.2842	92	19.0303	20
