n	średniaLiczbaPorównań	maksLiczbaPorównańDlaJednejOperacji	średniaLiczbaOdczytówIPodstawieńWskaźników	maksLiczbaOdczytówIPodstawień	średniaWysokośćDrzewaPoKażdejOperacji	maksWysokośćDrzewa
10000	22.5684	63	246.546	573	27.4367	41
10000	22.5317	63	246.325	539	27.3635	40
10000	22.5192	65	246.855	590	27.4392	38
10000	22.5547	61	246.539	556	27.3971	41
10000	22.5565	71	246.684	590	27.6031	41
10000	22.5176	67	246.398	545	27.1918	38
10000	22.5436	65	246.325	573	27.4129	37
10000	22.5605	63	246.793	539	27.6253	43
10000	22.5709	63	247.006	556	27.3677	38
10000	22.5619	63	246.863	607	27.3844	40
10000	22.6053	65	246.928	590	27.4868	39
10000	22.5335	61	246.696	522	27.4349	41
10000	22.5333	63	246.204	556	27.5872	41
10000	22.5356	63	246.644	590	27.4925	39
10000	22.5622	63	246.778	607	27.4745	41
10000	22.5537	63	246.605	511	27.4387	40
10000	22.5024	61	246.538	516	27.2707	40
10000	22.5597	61	246.922	539	27.6285	40
10000	22.5388	61	246.455	539	27.2888	38
10000	22.5662	61	246.52	556	27.376	40
20000	24.5846	65	269.851	607	30.3306	47
20000	24.6309	73	270.079	641	30.3815	42
20000	24.6171	73	270.138	607	30.2922	44
20000	24.6214	71	270.159	620	30.3852	42
20000	24.5951	75	269.938	624	30.2549	44
20000	24.6028	67	269.973	590	30.1338	42
20000	24.6019	73	269.854	607	30.4062	47
20000	24.6154	77	270.152	630	30.2331	43
20000	24.6022	67	269.78	641	30.3439	42
20000	24.6122	71	270.316	607	30.3697	43
20000	24.6369	69	270.263	602	30.2365	43
20000	24.6183	73	270.036	607	30.308	46
20000	24.6072	69	270.265	590	30.3572	44
20000	24.6222	71	270.363	590	30.2063	42
20000	24.6031	69	270.106	573	30.283	43
20000	24.6113	75	269.976	616	30.3123	41
20000	24.6105	73	269.882	599	30.2065	44
20000	24.5896	71	269.947	590	30.4612	46
20000	24.6169	75	270.073	613	30.3018	43
20000	24.6508	71	270.557	590	30.2681	46
30000	25.8006	77	283.666	630	31.9186	44
30000	25.8342	73	283.844	641	31.8039	45
30000	25.8319	71	283.852	624	31.9569	48
30000	25.8094	71	283.737	709	31.827	46
30000	25.8288	71	283.849	607	32.0128	44
30000	25.8338	77	283.946	658	31.8865	46
30000	25.8297	83	283.831	681	31.9274	45
30000	25.8019	71	283.64	607	31.7696	45
30000	25.8331	73	283.877	658	31.8	47
30000	25.8177	73	283.955	624	31.886	44
30000	25.8444	75	284.034	624	31.9086	46
30000	25.8164	69	283.69	624	31.8671	44
30000	25.8175	75	283.69	675	31.9706	47
30000	25.8412	73	283.872	658	31.8792	45
30000	25.8184	77	283.831	633	31.8721	48
30000	25.8393	69	283.946	607	31.9961	44
30000	25.8163	77	283.729	634	31.9459	45
30000	25.8416	73	283.915	675	31.8753	44
30000	25.8415	71	283.94	624	31.8265	45
30000	25.8498	75	283.96	624	31.9199	44
40000	26.6638	75	293.425	624	33.0046	46
40000	26.6624	75	293.445	675	32.9887	45
40000	26.6804	81	293.67	664	33.0994	50
40000	26.705	79	293.926	647	33.0689	46
40000	26.6967	75	293.745	624	33.0418	49
40000	26.6968	73	293.644	658	33.0567	49
40000	26.707	73	293.682	675	33.2137	47
40000	26.7045	75	293.642	641	33.0721	46
40000	26.7107	75	293.873	658	32.8449	45
40000	26.7014	73	293.761	641	33.0446	47
40000	26.6977	75	293.742	624	33.093	45
40000	26.6802	75	293.499	635	33.047	45
40000	26.6816	79	293.572	670	33.0408	47
40000	26.6915	83	293.646	684	32.9623	48
40000	26.6665	79	293.499	648	33.0834	46
40000	26.7346	77	293.996	641	33.1123	44
40000	26.6825	79	293.75	648	33.0056	47
40000	26.6816	77	293.711	641	32.9822	45
40000	26.7028	75	293.65	641	33.0257	48
40000	26.698	81	293.725	666	32.9955	45
50000	27.3527	79	301.265	658	33.8247	47
50000	27.3765	77	301.351	633	34.0421	49
50000	27.3602	79	301.257	658	33.9273	48
50000	27.3925	79	301.43	654	33.8183	48
50000	27.3677	77	301.309	658	33.9597	47
50000	27.395	75	301.428	641	33.8784	46
50000	27.3753	75	301.283	675	33.9564	48
50000	27.3512	77	301.14	658	34.0192	46
50000	27.3732	77	301.363	709	34.0053	48
50000	27.3383	79	301.078	692	34.0491	50
50000	27.3539	89	301.177	732	33.8325	46
50000	27.3559	77	301.094	658	33.8774	49
50000	27.3575	81	301.224	692	34.152	49
50000	27.3714	77	301.385	743	33.8995	47
50000	27.3661	77	301.277	692	33.9125	48
50000	27.3513	81	301.054	667	34.0766	48
50000	27.3399	77	301.112	675	33.9088	48
50000	27.3564	73	301.172	675	33.8158	47
50000	27.3652	83	301.263	681	33.9199	48
50000	27.3567	81	301.179	665	34.0721	49
60000	27.9257	81	307.7	692	34.7216	49
60000	27.8969	81	307.271	666	34.7703	49
60000	27.9068	77	307.456	709	34.6485	48
60000	27.9092	87	307.376	717	34.8629	51
60000	27.8814	77	307.345	760	34.774	50
60000	27.9074	79	307.525	675	34.5897	51
60000	27.9006	79	307.38	726	34.6059	50
60000	27.9073	75	307.431	675	34.696	48
60000	27.9106	81	307.481	675	34.5821	48
60000	27.8949	77	307.437	692	34.6518	48
60000	27.9129	81	307.437	692	34.6881	51
60000	27.9263	77	307.655	692	34.7311	48
60000	27.9179	77	307.631	658	34.6391	48
60000	27.9119	83	307.562	681	34.8091	50
60000	27.9306	75	307.661	658	34.7239	49
60000	27.8993	83	307.351	685	34.7732	48
60000	27.9126	75	307.501	675	34.5298	48
60000	27.916	81	307.49	692	34.6657	49
60000	27.9199	79	307.615	709	34.6389	48
60000	27.9282	81	307.595	675	34.7176	49
70000	28.364	79	312.632	709	35.4476	51
70000	28.379	77	312.845	675	35.3184	51
70000	28.3673	77	312.638	692	35.3633	50
70000	28.3689	79	312.709	692	35.3455	51
70000	28.3601	81	312.717	743	35.3271	50
70000	28.3705	79	312.784	709	35.393	50
70000	28.3505	79	312.639	692	35.3585	50
70000	28.3543	79	312.603	658	35.3843	51
70000	28.3695	79	312.577	658	35.2889	49
70000	28.3879	89	312.842	733	35.3415	50
70000	28.3872	85	312.988	698	35.2283	49
70000	28.3553	91	312.543	750	35.3398	49
70000	28.3668	85	312.684	699	35.3042	49
70000	28.3666	81	312.755	686	35.2959	51
70000	28.3782	77	312.711	726	35.221	49
70000	28.3402	79	312.43	726	35.3752	50
70000	28.369	79	312.675	692	35.3948	51
70000	28.3823	81	312.794	675	35.2628	49
70000	28.3614	79	312.634	692	35.2937	50
70000	28.3676	85	312.502	701	35.4082	51
80000	28.7696	87	317.19	715	35.8762	52
80000	28.7603	83	317.044	681	36.0071	53
80000	28.7572	79	317.217	709	35.8272	54
80000	28.7456	87	317.064	738	35.8865	51
80000	28.7535	95	317.03	784	35.9038	53
80000	28.7529	83	317.088	709	35.8956	50
80000	28.7906	79	317.27	692	35.7804	52
80000	28.7619	83	317.151	709	35.9526	51
80000	28.7815	81	317.214	692	35.9924	50
80000	28.7655	83	317.18	743	35.9057	51
80000	28.7676	85	317.186	698	35.8644	50
80000	28.7695	89	317.216	772	35.9143	49
80000	28.7667	83	317.147	709	35.8697	49
80000	28.7587	85	317.11	709	35.7151	49
80000	28.7611	89	317.191	760	35.9048	50
80000	28.7717	77	317.221	675	35.807	49
80000	28.7699	85	317.206	726	35.7988	50
80000	28.7779	77	317.377	709	35.9197	51
80000	28.7586	81	317.139	726	35.9513	51
80000	28.7488	79	317.088	709	35.8542	52
90000	29.1455	79	321.453	743	36.3562	51
90000	29.1172	83	321.173	709	36.4087	52
90000	29.1219	83	321.227	726	36.3698	50
90000	29.1214	79	321.252	743	36.295	54
