100	4950	17
200	19900	51
300	44850	114
400	79800	223
500	124750	305
600	179700	440
700	244650	593
800	319600	896
900	404550	994
1000	499500	1242
1100	604450	1447
1200	719400	1738
1300	844350	2057
1400	979300	2336
1500	1124250	2686
1600	1279200	3177
1700	1444150	3540
1800	1619100	3949
1900	1804050	4411
2000	1999000	4893
2100	2203950	5537
2200	2418900	6513
2300	2643850	6422
2400	2878800	7464
2500	3123750	7794
2600	3378700	8264
2700	3643650	9137
2800	3918600	9482
2900	4203550	10401
3000	4498500	11606
3100	4803450	12003
3200	5118400	12607
3300	5443350	13401
3400	5778300	14319
3500	6123250	14829
3600	6478200	16652
3700	6843150	16732
3800	7218100	17942
3900	7603050	19033
4000	7998000	19960
4100	8402950	21454
4200	8817900	21576
4300	9242850	22895
4400	9677800	24191
4500	10122750	25719
4600	10577700	26688
4700	11042650	27867
4800	11517600	28657
4900	12002550	30524
5000	12497500	31344
5100	13002450	31056
5200	13517400	33807
5300	14042350	35518
5400	14577300	35928
5500	15122250	39817
5600	15677200	40425
5700	16242150	42073
5800	16817100	43374
5900	17402050	44216
6000	17997000	44179
6100	18601950	47599
6200	19216900	47188
6300	19841850	49034
6400	20476800	50982
6500	21121750	52911
6600	21776700	55595
6700	22441650	55902
6800	23116600	57577
6900	23801550	59101
7000	24496500	62608
7100	25201450	63242
7200	25916400	63746
7300	26641350	66810
7400	27376300	68694
7500	28121250	70568
7600	28876200	72691
7700	29641150	74109
7800	30416100	76396
7900	31201050	76617
8000	31996000	79507
8100	32800950	81029
8200	33615900	81806
8300	34440850	85973
8400	35275800	87355
8500	36120750	87041
8600	36975700	92203
8700	37840650	94722
8800	38715600	97354
8900	39600550	99205
9000	40495500	101718
9100	41400450	103828
9200	42315400	107456
9300	43240350	108810
9400	44175300	109216
9500	45120250	113083
9600	46075200	114257
9700	47040150	111336
9800	48015100	119207
9900	49000050	122201
10000	49995000	123117
