n;Bn;Un;Ln;Cn;Dn;Dn-Cn
4000;45;1500;6;42434;49386;6952
4000;58;1436;5;34323;43997;9674
4000;89;1458;7;34309;41732;7423
4000;71;1452;6;31796;41284;9488
4000;8;1479;7;41002;43585;2583
4000;183;1483;6;32205;41316;9111
4000;95;1496;6;33848;46965;13117
4000;82;1412;6;32187;44406;12219
4000;180;1484;7;37513;49880;12367
4000;37;1468;6;29808;38132;8324
4000;49;1460;6;32562;42411;9849
4000;122;1429;6;28889;38234;9345
4000;96;1473;6;34550;48734;14184
4000;65;1427;7;31260;43657;12397
4000;32;1485;7;38256;49041;10785
4000;93;1474;6;39902;43647;3745
4000;110;1450;6;33520;40177;6657
4000;18;1439;7;38511;42327;3816
4000;87;1491;6;44970;44984;14
4000;69;1470;6;32403;40632;8229
4000;117;1472;6;33571;41704;8133
4000;58;1470;7;35416;40099;4683
4000;69;1478;6;33957;45866;11909
4000;111;1470;5;25857;42640;16783
4000;118;1468;5;35721;56331;20610
4000;80;1452;6;31461;46212;14751
4000;78;1459;6;34588;44263;9675
4000;112;1458;6;38006;46854;8848
4000;154;1508;6;31760;41427;9667
4000;137;1477;6;34960;45517;10557
4000;87;1497;6;29344;43663;14319
4000;53;1475;6;30562;59454;28892
4000;33;1467;6;42436;48294;5858
4000;55;1458;6;33331;44522;11191
4000;122;1493;6;31091;44110;13019
4000;124;1479;7;31910;57089;25179
4000;16;1450;8;34709;42277;7568
4000;114;1475;5;44518;49230;4712
4000;96;1474;6;36263;38769;2506
4000;112;1446;6;36189;47394;11205
4000;66;1458;6;30133;38530;8397
4000;94;1459;6;33384;51047;17663
4000;55;1474;6;39905;50711;10806
4000;97;1448;6;33801;41119;7318
4000;109;1466;6;31229;50278;19049
4000;164;1445;6;33292;38689;5397
4000;106;1491;6;42233;45359;3126
4000;28;1503;6;47099;50258;3159
4000;50;1472;7;34807;39492;4685
5000;56;1832;6;40349;51658;11309
5000;110;1831;6;44903;62370;17467
