n;Bn;Un;Ln;Cn;Dn;Dn-Cn
27000;281;9897;7;323888;370352;46464
27000;147;9912;8;291517;366133;74616
27000;232;10023;6;372445;374520;2075
27000;214;9942;7;267519;325249;57730
27000;384;9939;7;280198;410224;130026
27000;248;9919;8;267023;428551;161528
27000;161;9912;6;247298;349491;102193
27000;259;9871;8;262739;346897;84158
27000;382;9842;8;244925;345177;100252
27000;477;9916;7;326816;336126;9310
28000;138;10372;7;247391;357760;110369
28000;55;10370;6;264283;328808;64525
28000;258;10304;7;270841;420396;149555
28000;171;10289;7;361122;373529;12407
28000;221;10313;7;257678;384905;127227
28000;237;10336;6;340516;420369;79853
28000;96;10325;8;257837;314748;56911
28000;224;10258;7;303080;379282;76202
28000;288;10340;7;310887;380084;69197
28000;78;10272;7;268684;364129;95445
28000;62;10374;7;268291;422971;154680
28000;121;10312;8;328221;341473;13252
28000;92;10282;7;318989;365708;46719
28000;300;10263;8;246918;363801;116883
28000;196;10323;7;381000;403240;22240
28000;246;10211;7;330544;429073;98529
28000;282;10380;8;360118;491054;130936
28000;164;10289;7;301022;364240;63218
28000;309;10259;7;277024;404109;127085
28000;315;10190;7;284371;339316;54945
28000;541;10409;7;281013;458385;177372
28000;244;10267;7;284766;336093;51327
28000;48;10243;7;272293;398562;126269
28000;199;10260;7;296802;355147;58345
28000;165;10235;7;275059;335191;60132
28000;70;10239;7;297905;418656;120751
28000;259;10196;6;301744;339076;37332
28000;121;10307;10;334003;583078;249075
28000;336;10296;7;313513;369688;56175
28000;88;10351;7;272966;495191;222225
28000;91;10311;7;295111;337881;42770
28000;99;10307;7;379591;388341;8750
28000;458;10280;7;339365;385385;46020
28000;304;10401;7;274653;360997;86344
28000;169;10344;7;310447;375800;65353
28000;266;10301;7;307525;355014;47489
28000;220;10277;7;289725;433252;143527
28000;356;10286;7;344898;378710;33812
28000;80;10348;7;271196;374987;103791
28000;347;10292;6;262869;387675;124806
28000;325;10262;7;341261;384545;43284
28000;226;10333;8;323801;351334;27533
28000;332;10387;6;362073;364493;2420
28000;322;10203;8;287732;401256;113524
28000;194;10298;7;274833;345631;70798
28000;102;10342;7;329484;337191;7707
28000;268;10288;7;289313;465687;176374
28000;337;10322;7;255339;333623;78284
28000;83;10325;7;298613;378190;79577
28000;155;10267;8;356356;399804;43448
29000;148;10716;7;281110;412499;131389
29000;160;10670;7;348430;385057;36627
29000;178;10583;7;316733;411995;95262
29000;115;10697;7;344693;393048;48355
29000;73;10611;7;346133;378267;32134
29000;205;10658;7;303908;433504;129596
29000;126;10685;8;316995;357260;40265
29000;461;10630;7;400897;433434;32537
29000;170;10696;8;326864;348015;21151
29000;312;10730;7;305535;349565;44030
29000;87;10715;7;276121;380199;104078
29000;39;10673;8;291740;393041;101301
29000;298;10687;7;287428;366722;79294
29000;248;10634;7;332410;409815;77405
29000;413;10721;7;383151;393928;10777
29000;211;10589;8;277713;378357;100644
29000;328;10630;6;348436;378328;29892
29000;355;10706;7;301260;347179;45919
29000;150;10731;8;354784;399866;45082
29000;169;10700;7;338479;361305;22826
29000;143;10655;7;286296;344082;57786
29000;130;10619;7;320084;406026;85942
29000;225;10683;7;283704;394194;110490
29000;111;10615;8;281221;426476;145255
29000;129;10746;7;297650;366450;68800
29000;7;10699;7;336183;465069;128886
29000;76;10585;6;340853;371096;30243
29000;48;10687;7;328348;370048;41700
29000;298;10709;6;296210;359070;62860
29000;169;10598;7;407922;421983;14061
29000;143;10697;7;323716;379321;55605
29000;191;10776;7;284381;407621;123240
29000;241;10741;9;269486;384966;115480
29000;282;10694;7;317767;405747;87980
29000;81;10680;7;299129;327697;28568
29000;177;10632;6;303798;437948;134150
29000;45;10705;7;288787;368071;79284
29000;339;10686;7;299740;440531;140791
29000;403;10644;7;256985;378835;121850
29000;90;10766;7;265551;432624;167073
29000;187;10634;7;324089;387643;63554
29000;358;10640;7;311843;351738;39895
29000;132;10677;7;304834;399203;94369
29000;27;10603;8;277892;471662;193770
29000;98;10714;7;350287;353356;3069
29000;47;10688;7;249977;467371;217394
29000;314;10708;8;313125;361040;47915
29000;204;10637;8;294430;381167;86737
29000;120;10637;8;318195;386590;68395
29000;65;10711;6;312190;362948;50758
30000;248;11153;7;337614;378772;41158
30000;38;10988;7;322095;479336;157241
30000;215;11033;7;296473;377283;80810
30000;197;11068;9;307649;386706;79057
30000;165;11099;7;311299;357715;46416
30000;256;10998;7;299844;391217;91373
30000;253;10992;7;422524;424970;2446
30000;392;10965;8;288075;460214;172139
30000;137;10940;8;299885;408253;108368
30000;261;11023;7;281931;438140;156209
30000;145;10929;8;449913;481315;31402
30000;457;11055;7;331471;427320;95849
30000;320;11048;7;381914;462739;80825
30000;70;11016;8;323891;439272;115381
30000;263;11032;6;334364;421627;87263
30000;176;11002;7;301523;375593;74070
30000;229;11058;7;325032;376794;51762
30000;217;11031;8;351406;408115;56709
30000;225;11114;7;357882;420684;62802
30000;374;10972;7;329377;383394;54017
30000;376;11024;7;376329;416691;40362
30000;257;11091;7;263734;430953;167219
30000;391;11122;7;331663;459275;127612
30000;380;11055;6;332880;425726;92846
30000;316;11050;7;434040;456924;22884
30000;281;11098;7;323531;379213;55682
30000;185;11067;8;324264;412141;87877
30000;270;10987;7;323685;432376;108691
30000;167;11127;7;344571;371497;26926
30000;241;11024;7;332396;342888;10492
30000;87;11110;8;290158;416591;126433
30000;180;11166;8;328413;455356;126943
30000;108;11042;7;390864;426982;36118
30000;382;11029;7;354237;364813;10576
30000;130;11049;7;340991;376941;35950
30000;131;10990;7;394138;399844;5706
30000;152;11015;7;357493;422732;65239
30000;52;10975;7;406846;416170;9324
30000;158;10988;7;408432;439681;31249
30000;265;10946;7;314086;353621;39535
30000;349;11054;7;278420;419894;141474
30000;294;11007;7;327642;438411;110769
30000;200;11104;6;305627;410396;104769
30000;80;11029;8;335403;433106;97703
30000;165;11057;9;307793;338808;31015
30000;229;10988;7;422469;442882;20413
30000;234;11035;9;278136;348499;70363
30000;190;11012;7;407085;414221;7136
30000;198;10935;8;309145;379352;70207
30000;164;11107;8;307941;337846;29905
31000;278;11442;8;300102;421675;121573
31000;259;11400;7;334304;463408;129104
31000;399;11440;7;362487;410463;47976
31000;98;11398;7;307910;379935;72025
31000;167;11378;7;368456;430039;61583
31000;213;11463;7;328485;411165;82680
31000;184;11411;9;342905;429784;86879
31000;244;11459;8;330069;388468;58399
31000;260;11403;8;327959;495619;167660
31000;442;11478;7;329337;428900;99563
31000;372;11329;7;324685;365043;40358
31000;274;11494;7;349061;468619;119558
31000;232;11425;7;293111;406416;113305
31000;254;11502;7;299836;393466;93630
31000;7;11374;7;351715;403839;52124
31000;75;11315;7;341209;472082;130873
31000;21;11372;7;318221;460661;142440
31000;66;11393;7;308059;561683;253624
31000;215;11376;6;332459;490263;157804
31000;273;11397;6;298629;396171;97542
31000;137;11343;7;320991;474567;153576
31000;231;11485;8;310509;441229;130720
31000;299;11472;8;357469;467021;109552
31000;229;11392;10;329156;360029;30873
31000;278;11415;7;371523;440713;69190
31000;284;11394;7;318209;382433;64224
31000;200;11378;7;299235;484415;185180
31000;201;11443;9;328633;414168;85535
31000;125;11414;8;362032;389263;27231
31000;139;11463;7;300585;384631;84046
31000;239;11308;7;319474;401844;82370
31000;293;11411;7;362963;383102;20139
31000;361;11436;7;307163;361426;54263
31000;238;11514;7;308170;381394;73224
31000;183;11417;7;418325;493525;75200
31000;289;11488;7;339537;423097;83560
31000;449;11347;6;332432;457400;124968
31000;480;11439;8;396406;399812;3406
31000;245;11331;7;305006;404779;99773
31000;41;11423;7;329939;420158;90219
31000;53;11407;6;424654;444904;20250
31000;29;11390;7;308868;375390;66522
31000;123;11342;6;361001;472681;111680
31000;119;11497;7;277121;417180;140059
31000;66;11417;8;318948;379408;60460
31000;109;11280;6;331679;394177;62498
31000;177;11439;7;318722;420798;102076
31000;226;11405;7;353662;515220;161558
31000;147;11500;6;351711;394312;42601
31000;184;11448;6;341382;424826;83444
32000;119;11810;6;378844;520680;141836
32000;258;11809;7;367651;426729;59078
32000;88;11731;7;346361;403007;56646
32000;134;11829;7;328790;454938;126148
32000;292;11781;7;360007;436894;76887
32000;324;11766;7;313270;390124;76854
32000;236;11749;6;384478;477995;93517
32000;183;11739;9;367956;484171;116215
32000;52;11758;7;320944;378261;57317
32000;131;11828;7;326736;391958;65222
32000;287;11679;7;338342;445462;107120
32000;184;11687;8;531178;546064;14886
32000;133;11729;7;303297;391727;88430
32000;133;11818;7;356145;471125;114980
32000;503;11791;8;326175;365495;39320
32000;152;11685;8;353492;404364;50872
32000;171;11788;7;367016;440434;73418
32000;123;11767;8;299512;378255;78743
32000;126;11759;7;461999;504731;42732
32000;268;11897;6;392533;407132;14599
32000;176;11837;7;381172;448087;66915
32000;214;11892;6;344634;408048;63414
32000;128;11794;7;316827;432744;115917
32000;434;11888;7;385310;466406;81096
32000;99;11831;7;374276;440390;66114
32000;295;11853;7;363444;409572;46128
32000;136;11674;8;416836;518731;101895
32000;225;11749;7;283245;381077;97832
32000;167;11674;7;357858;407178;49320
32000;226;11899;7;386357;425996;39639
32000;306;11767;7;422940;423861;921
32000;227;11781;7;306700;432559;125859
32000;257;11742;7;311051;422746;111695
32000;141;11825;6;290283;418343;128060
32000;114;11754;7;299046;421909;122863
32000;312;11833;7;361296;405101;43805
32000;246;11817;7;289664;462620;172956
32000;311;11773;7;339212;455834;116622
32000;472;11839;6;361418;387730;26312
32000;516;11825;7;282036;415875;133839
32000;301;11939;8;427124;437759;10635
32000;99;11748;8;373220;456318;83098
32000;123;11708;7;322597;413885;91288
32000;194;11865;7;420520;517018;96498
32000;166;11793;8;356255;394575;38320
32000;225;11711;8;359333;458745;99412
32000;217;11711;7;466504;468149;1645
32000;199;11787;7;339059;445324;106265
32000;181;11666;7;477244;554373;77129
32000;341;11699;7;371059;457451;86392
33000;189;12178;8;380554;418182;37628
33000;420;12061;8;360556;414512;53956
33000;374;12153;7;336002;480899;144897
33000;200;12128;7;365035;409192;44157
33000;48;12236;7;349702;452516;102814
33000;356;12137;8;453218;490452;37234
33000;288;12095;7;328764;447463;118699
33000;135;12112;7;401710;549588;147878
33000;119;12216;7;335743;448060;112317
33000;405;12111;8;328384;423503;95119
33000;439;12197;7;333895;476025;142130
33000;271;12164;8;346233;480245;134012
33000;238;12189;7;416320;470022;53702
33000;329;12244;7;359783;474548;114765
33000;421;12068;7;359266;414487;55221
33000;159;12070;7;324728;490004;165276
33000;362;12183;7;422528;482439;59911
33000;320;12198;7;328297;484000;155703
33000;169;12195;8;348206;422568;74362
33000;550;12285;6;364184;503809;139625
33000;215;12159;7;356939;467519;110580
33000;314;12138;6;436810;450336;13526
33000;239;12059;7;402433;443132;40699
33000;207;12122;8;385248;448220;62972
33000;284;12130;6;348906;385911;37005
33000;320;12063;7;347608;490059;142451
33000;233;12130;7;370654;446785;76131
33000;317;12133;7;346995;409802;62807
33000;364;12122;7;361462;452251;90789
33000;356;12099;7;373218;408839;35621
33000;195;12143;7;338555;525685;187130
33000;291;12225;7;337680;399899;62219
33000;271;12024;6;330666;420131;89465
33000;339;12160;7;318365;405460;87095
33000;332;12194;7;347479;399685;52206
33000;251;12197;7;366328;565069;198741
33000;10;12260;8;332868;463887;131019
33000;37;12141;7;320074;403390;83316
33000;202;12156;7;442377;458423;16046
33000;379;12065;7;492900;568298;75398
33000;243;12187;7;325143;404768;79625
33000;212;12162;7;408188;548904;140716
33000;223;12069;7;317134;588710;271576
33000;289;12159;7;330746;441235;110489
33000;27;12159;7;377343;426774;49431
33000;262;12150;7;354887;463169;108282
33000;182;12125;7;338243;456608;118365
33000;159;12219;8;298862;405128;106266
33000;90;12180;7;334801;418299;83498
33000;497;12134;7;375321;490284;114963
34000;210;12512;9;337121;459531;122410
34000;205;12531;7;315330;480446;165116
34000;54;12426;7;356329;399863;43534
34000;247;12494;7;354198;420184;65986
34000;429;12442;8;389208;417532;28324
34000;7;12472;7;372775;450676;77901
34000;293;12438;8;377346;474510;97164
34000;323;12450;7;378311;415551;37240
34000;221;12564;7;356050;484945;128895
34000;221;12510;7;349019;615020;266001
34000;352;12532;6;355836;377529;21693
34000;51;12425;7;471827;496265;24438
34000;217;12561;7;354625;488974;134349
34000;167;12512;8;339149;439372;100223
34000;295;12585;7;430723;518686;87963
34000;131;12569;6;440662;478641;37979
34000;219;12634;7;312415;495566;183151
34000;82;12644;7;406855;461025;54170
34000;227;12558;7;360289;465894;105605
34000;262;12461;7;324080;446365;122285
34000;120;12485;8;377037;450391;73354
34000;244;12516;7;407104;454724;47620
34000;326;12503;8;353530;467086;113556
34000;247;12557;7;446661;478252;31591
34000;139;12489;7;373738;515325;141587
34000;83;12497;8;398666;437264;38598
34000;187;12600;7;398435;434555;36120
34000;250;12524;7;431148;468896;37748
34000;233;12458;7;373273;436264;62991
34000;97;12594;7;332101;445558;113457
34000;36;12451;7;366472;475609;109137
34000;491;12421;8;356091;491761;135670
34000;165;12381;6;340831;563949;223118
34000;321;12438;6;381589;453933;72344
34000;313;12626;8;325531;409919;84388
34000;251;12512;7;381690;464470;82780
34000;280;12442;8;466592;521159;54567
34000;389;12542;8;344121;502261;158140
34000;366;12471;7;470074;533426;63352
34000;215;12498;7;375879;506474;130595
34000;296;12343;7;357853;451990;94137
34000;188;12528;7;345611;428989;83378
34000;422;12462;7;388890;421949;33059
34000;311;12440;8;376024;460696;84672
34000;533;12565;8;430498;451012;20514
34000;526;12522;7;397035;416746;19711
34000;260;12410;7;405312;531154;125842
34000;221;12515;7;440096;464744;24648
34000;60;12550;7;379276;595774;216498
34000;246;12552;7;325045;451169;126124
35000;165;12884;7;411577;428514;16937
35000;452;12922;8;343573;430423;86850
35000;242;12935;8;418072;487002;68930
35000;634;12866;7;397481;438111;40630
35000;116;12867;8;353484;468645;115161
35000;159;12817;6;338169;434173;96004
35000;262;12914;7;525380;545867;20487
35000;484;12960;9;329622;506781;177159
35000;301;12908;7;326052;466771;140719
35000;133;12854;7;369395;538219;168824
35000;136;12877;9;308784;473594;164810
35000;635;12901;7;438670;502566;63896
35000;96;12866;7;383126;476546;93420
35000;81;12818;8;370462;535376;164914
35000;159;12903;7;360248;506763;146515
35000;182;12898;8;421561;588690;167129
35000;91;12872;8;351537;448853;97316
35000;331;12972;6;370231;445720;75489
35000;226;12897;7;387189;479042;91853
35000;60;12917;7;497721;554643;56922
35000;254;12890;7;383035;465105;82070
35000;466;12894;8;374606;456201;81595
35000;420;12772;7;367591;530961;163370
35000;156;12821;7;400909;549999;149090
35000;218;12857;7;436298;516709;80411
35000;274;12865;7;359478;503639;144161
35000;273;12848;6;386724;448712;61988
35000;310;12927;8;383226;499230;116004
35000;355;12861;7;352011;497848;145837
35000;114;12958;8;394822;459755;64933
35000;469;12798;7;393492;420496;27004
35000;249;13062;8;412392;474323;61931
35000;255;12879;7;435289;457736;22447
35000;172;12919;8;358794;564573;205779
35000;197;12897;8;335582;448198;112616
35000;102;12904;7;395604;537066;141462
35000;198;12822;8;365735;506117;140382
35000;265;12834;7;390821;424236;33415
35000;301;12873;8;395315;549082;153767
35000;315;12852;7;367533;474882;107349
35000;246;12876;10;361537;511105;149568
35000;437;12942;7;372601;473815;101214
35000;148;12863;7;389944;425160;35216
35000;122;12828;7;387847;505236;117389
35000;176;12856;7;360554;439942;79388
35000;170;12837;6;379885;474929;95044
35000;191;12964;8;330183;445477;115294
35000;198;12823;7;545147;552186;7039
35000;444;12945;7;424938;492614;67676
35000;257;12930;7;360862;440159;79297
36000;182;13220;8;451848;484356;32508
36000;566;13246;7;382657;481927;99270
36000;199;13271;8;418609;446140;27531
36000;638;13279;7;330250;461359;131109
36000;298;13287;7;438230;525708;87478
36000;194;13276;7;374237;505415;131178
36000;37;13175;7;446631;511418;64787
36000;249;13166;7;384667;476385;91718
36000;206;13349;7;445949;528077;82128
36000;307;13195;8;445201;508861;63660
36000;181;13353;7;404723;466023;61300
36000;182;13236;8;370906;505939;135033
36000;67;13215;7;443113;474867;31754
36000;217;13193;7;385892;468610;82718
36000;197;13199;8;411747;555887;144140
36000;222;13294;7;336011;442524;106513
36000;153;13258;7;345734;436356;90622
36000;509;13332;8;362321;498624;136303
36000;93;13195;7;449577;511283;61706
36000;99;13258;7;437643;455990;18347
36000;297;13267;7;571343;586963;15620
36000;428;13276;8;516402;554391;37989
36000;215;13260;7;384731;495520;110789
36000;268;13272;8;405173;472944;67771
36000;74;13178;7;334656;441102;106446
36000;366;13259;8;410326;458184;47858
36000;514;13235;6;384085;554893;170808
36000;92;13261;8;463893;508303;44410
36000;274;13381;7;426808;534143;107335
36000;238;13269;7;466637;470621;3984
36000;183;13196;8;515852;624802;108950
36000;270;13144;7;348304;443324;95020
36000;117;13295;8;358208;539594;181386
36000;215;13297;7;359186;416847;57661
36000;119;13299;6;365129;484187;119058
36000;53;13297;8;441958;625055;183097
36000;133;13243;6;348085;510804;162719
36000;150;13145;7;354281;538672;184391
36000;522;13349;8;399869;455152;55283
36000;337;13208;7;412916;512183;99267
36000;273;13231;8;433584;479856;46272
36000;200;13232;7;363592;501079;137487
36000;614;13191;7;436925;675212;238287
36000;278;13389;7;357337;479856;122519
36000;194;13291;7;342106;459766;117660
36000;312;13325;7;423802;461730;37928
36000;133;13257;7;518796;542514;23718
36000;273;13221;9;433230;496194;62964
36000;257;13201;6;370388;538039;167651
36000;97;13381;8;365799;465533;99734
37000;99;13608;9;521016;522833;1817
37000;244;13638;7;384356;468792;84436
37000;135;13720;8;411237;587341;176104
37000;181;13679;8;397470;475217;77747
37000;185;13630;8;403312;535037;131725
37000;294;13708;7;410065;509527;99462
37000;297;13719;7;375474;487428;111954
37000;415;13595;8;353386;581827;228441
37000;106;13489;7;404430;520889;116459
37000;265;13548;6;384418;479263;94845
37000;159;13601;7;483441;499465;16024
37000;276;13665;7;368964;523858;154894
37000;314;13622;7;418221;478064;59843
37000;82;13595;7;337207;519013;181806
37000;76;13628;7;390814;533141;142327
37000;252;13723;7;532750;591086;58336
37000;211;13726;8;400257;549764;149507
37000;549;13571;7;394905;442133;47228
37000;184;13631;7;370662;517993;147331
37000;176;13598;9;424942;456259;31317
37000;408;13622;7;372915;470895;97980
37000;317;13628;9;359788;545498;185710
37000;77;13630;7;359173;475398;116225
37000;531;13660;7;399898;506489;106591
37000;236;13648;8;416847;678297;261450
37000;130;13673;7;474538;566391;91853
37000;338;13521;7;480359;497655;17296
37000;224;13523;7;355880;432493;76613
37000;111;13667;7;403042;461918;58876
37000;191;13558;7;347846;475467;127621
37000;120;13676;7;385316;547944;162628
37000;155;13600;8;406744;443086;36342
37000;187;13607;8;380337;456876;76539
37000;277;13577;8;382779;430715;47936
37000;435;13729;6;372452;499825;127373
37000;283;13634;7;371340;453362;82022
37000;277;13643;7;346655;502804;156149
37000;242;13566;8;352877;529212;176335
37000;233;13604;7;384609;446614;62005
37000;96;13633;7;363705;591154;227449
37000;164;13617;7;318382;484023;165641
37000;42;13588;6;360553;460449;99896
37000;221;13708;7;383889;502600;118711
37000;189;13581;7;395932;455552;59620
37000;88;13696;8;406106;532531;126425
37000;225;13592;8;352683;476715;124032
37000;210;13601;7;365448;491527;126079
37000;207;13654;8;413321;511386;98065
37000;163;13525;7;381183;482100;100917
37000;157;13646;7;391599;618882;227283
38000;167;13972;7;401641;535784;134143
38000;83;13960;8;410937;488159;77222
38000;444;13894;10;412077;576597;164520
38000;447;14010;9;451602;584240;132638
38000;324;14056;9;408787;605695;196908
38000;448;13990;8;500829;508205;7376
38000;390;14081;7;468039;625136;157097
38000;132;13935;7;373127;471212;98085
38000;179;14073;8;488363;506339;17976
38000;99;13902;7;366485;487165;120680
38000;31;13874;7;402705;487396;84691
38000;296;13890;7;378328;541852;163524
38000;73;14057;7;484439;605754;121315
38000;362;13967;8;391011;526344;135333
38000;112;13946;7;428117;486183;58066
38000;326;13999;7;437086;507223;70137
38000;295;14067;10;381764;466897;85133
38000;186;13947;7;431159;508912;77753
38000;209;13881;7;504447;632294;127847
38000;139;14040;7;357930;518594;160664
38000;244;13863;8;460233;488920;28687
38000;553;13968;8;446558;498189;51631
38000;179;13922;7;396734;492990;96256
38000;498;14007;7;449487;516118;66631
38000;249;13970;8;460434;486468;26034
38000;342;14059;10;348828;468642;119814
38000;247;13939;7;367383;443548;76165
38000;96;14032;7;394183;573417;179234
38000;425;13842;7;381332;460739;79407
38000;110;13931;8;458113;507989;49876
38000;61;14043;7;355649;456767;101118
38000;179;13925;7;387663;501205;113542
38000;172;14054;7;414747;470429;55682
38000;352;14038;7;389539;512680;123141
38000;149;14031;9;377995;488981;110986
38000;64;13969;7;436317;520239;83922
38000;251;13973;7;362671;461521;98850
38000;534;13968;8;465777;503533;37756
38000;95;13875;8;376615;462756;86141
38000;158;13837;7;505103;546207;41104
38000;235;13898;8;402698;512756;110058
38000;181;13915;7;418066;489236;71170
38000;463;13967;7;476502;542634;66132
38000;224;13932;7;402213;539861;137648
38000;337;13918;7;395100;509369;114269
38000;179;13988;8;428793;545358;116565
38000;330;14016;8;484185;515888;31703
38000;594;14046;8;398667;612211;213544
38000;72;13930;7;399143;629078;229935
38000;125;13976;7;428270;498140;69870
39000;262;14311;8;477020;547990;70970
39000;202;14237;8;501008;513675;12667
39000;102;14360;8;420421;508929;88508
39000;58;14345;8;420814;501902;81088
39000;315;14357;7;407698;537151;129453
39000;72;14460;7;376046;463448;87402
39000;102;14353;7;560228;560824;596
39000;99;14469;7;418032;562249;144217
39000;277;14385;7;446280;683138;236858
39000;215;14333;7;421945;612086;190141
39000;450;14430;8;369880;554936;185056
39000;474;14413;7;418872;566862;147990
39000;68;14341;7;424216;544434;120218
39000;257;14386;8;420535;491723;71188
39000;403;14317;8;471134;548822;77688
39000;115;14400;7;420465;546896;126431
39000;347;14340;7;443513;506937;63424
39000;322;14434;8;409522;493758;84236
39000;329;14315;7;425791;489429;63638
39000;320;14443;7;393651;492585;98934
39000;94;14299;6;459306;664166;204860
39000;233;14445;7;501778;597374;95596
39000;210;14330;7;388771;458005;69234
39000;185;14322;9;383917;517575;133658
39000;274;14398;8;408894;521139;112245
39000;386;14363;7;436072;481723;45651
39000;332;14385;7;444437;491405;46968
39000;313;14270;7;418925;567967;149042
39000;229;14543;7;536149;555622;19473
39000;131;14387;7;445771;463076;17305
39000;271;14353;7;415644;520671;105027
39000;380;14289;7;503825;518198;14373
39000;338;14464;7;458887;492570;33683
39000;393;14327;7;488479;554282;65803
39000;258;14354;8;413432;588268;174836
39000;383;14379;7;423344;563195;139851
39000;109;14426;7;418546;490828;72282
39000;55;14443;8;485230;502295;17065
39000;398;14234;7;524554;567020;42466
39000;125;14239;7;437207;503820;66613
39000;130;14277;8;432018;522911;90893
39000;328;14405;8;374503;484004;109501
39000;162;14312;7;411095;533192;122097
39000;204;14272;7;448106;514926;66820
39000;64;14269;8;385221;470777;85556
39000;203;14366;7;541332;559531;18199
39000;413;14499;7;354419;511471;157052
39000;345;14316;7;568072;615752;47680
39000;150;14446;9;471612;535970;64358
39000;204;14327;6;509962;578828;68866
40000;265;14592;7;410836;572539;161703
40000;294;14809;10;442149;510203;68054
40000;411;14728;7;373399;614949;241550
40000;216;14761;7;530493;553919;23426
40000;171;14697;7;446897;498486;51589
40000;55;14661;7;426073;497778;71705
40000;330;14785;7;502330;533416;31086
40000;340;14672;7;515758;546617;30859
40000;231;14806;8;483084;496136;13052
40000;69;14808;8;404695;635471;230776
40000;554;14672;8;458089;540737;82648
40000;237;14706;7;390377;504382;114005
40000;598;14733;8;503855;554920;51065
40000;410;14718;8;382662;610841;228179
40000;402;14633;8;463928;514458;50530
40000;271;14763;6;432968;630558;197590
40000;437;14740;7;452851;532820;79969
40000;134;14709;7;489735;532253;42518
40000;311;14679;8;477843;634105;156262
40000;215;14643;7;465627;494949;29322
40000;240;14743;7;549996;590871;40875
40000;297;14767;7;421962;600193;178231
40000;232;14794;7;470910;554927;84017
40000;151;14670;7;442286;535729;93443
40000;339;14710;7;435562;592642;157080
40000;271;14764;7;418672;464529;45857
40000;144;14752;8;414675;488398;73723
40000;317;14615;7;607319;694067;86748
40000;455;14764;7;425045;487046;62001
40000;151;14771;7;575141;658033;82892
40000;479;14654;8;644772;669105;24333
40000;127;14620;8;418511;471841;53330
40000;271;14779;8;397926;525697;127771
40000;133;14664;7;514051;537986;23935
40000;271;14744;10;411053;534769;123716
40000;257;14864;7;372767;481919;109152
40000;374;14695;7;536386;619807;83421
40000;183;14649;7;371465;517263;145798
40000;330;14668;7;391604;495163;103559
40000;277;14599;7;398689;533739;135050
40000;141;14610;7;447493;541205;93712
40000;233;14707;8;456269;523718;67449
40000;74;14720;8;434119;546616;112497
40000;107;14683;7;464624;496630;32006
40000;510;14733;7;421653;578557;156904
40000;75;14714;8;391082;584901;193819
40000;120;14722;8;428704;590044;161340
40000;237;14868;7;394624;518097;123473
40000;344;14730;7;428529;530376;101847
40000;482;14748;7;541764;660708;118944
41000;321;15049;9;381300;604863;223563
41000;174;15130;7;390042;503312;113270
41000;569;15038;7;465255;498219;32964
41000;240;15154;8;506166;546854;40688
41000;98;14968;8;485413;541208;55795
41000;139;15075;7;415625;588583;172958
41000;144;15079;7;376213;639090;262877
41000;171;15207;7;396827;534145;137318
41000;271;15052;7;575568;596294;20726
41000;281;15000;7;412799;559440;146641
41000;241;15006;6;488903;526883;37980
41000;74;15071;8;524648;562024;37376
41000;175;15084;7;412810;484102;71292
41000;171;15115;8;456115;528223;72108
41000;285;15080;7;483852;543547;59695
41000;212;14982;7;461043;520569;59526
41000;311;15118;7;430680;569726;139046
41000;107;15185;8;375255;574170;198915
41000;301;15086;7;436187;571228;135041
41000;71;15076;8;513802;792153;278351
41000;308;14953;8;549212;590668;41456
41000;207;15134;8;477438;534579;57141
41000;159;15036;7;437267;559772;122505
41000;215;15075;7;434776;585410;150634
41000;336;15087;8;423094;553530;130436
41000;411;15077;6;414837;621971;207134
41000;323;15190;7;474562;554465;79903
41000;247;15097;8;561171;587854;26683
41000;328;15063;7;449349;531228;81879
41000;291;15076;7;502597;628190;125593
41000;147;15045;8;431448;541705;110257
41000;526;15094;7;466322;554307;87985
41000;558;15047;7;400693;574331;173638
41000;37;15055;7;398364;580431;182067
41000;311;15209;7;579164;636331;57167
41000;31;15036;7;505849;582542;76693
41000;277;15164;8;489689;545341;55652
41000;56;15022;7;421173;563375;142202
41000;241;15056;7;451469;523412;71943
41000;210;15005;8;404436;533176;128740
41000;174;15095;7;449901;511460;61559
41000;351;14952;8;426358;570749;144391
41000;397;15028;7;428130;491504;63374
41000;216;15195;7;597281;638208;40927
41000;255;14964;9;458531;548866;90335
41000;266;15023;8;481278;593621;112343
41000;51;15060;7;494154;571352;77198
41000;136;15175;7;416907;661245;244338
41000;226;14979;8;439244;519057;79813
41000;77;15191;7;495604;550710;55106
42000;353;15423;7;459912;655238;195326
42000;84;15431;9;487691;535841;48150
42000;90;15464;9;625251;646007;20756
42000;118;15449;8;523703;569079;45376
42000;233;15523;8;397155;534117;136962
42000;323;15532;7;453671;571439;117768
42000;183;15383;7;439415;577628;138213
42000;294;15334;7;610024;638190;28166
42000;355;15481;7;461399;504123;42724
42000;59;15491;7;423306;660618;237312
42000;364;15462;7;416038;599426;183388
42000;74;15454;7;399642;678564;278922
42000;127;15510;9;448272;581399;133127
42000;187;15357;8;405204;526488;121284
42000;293;15506;7;521801;683703;161902
42000;455;15461;10;451799;537459;85660
42000;56;15383;8;419874;651161;231287
42000;116;15393;8;443827;527335;83508
42000;165;15459;7;519597;555326;35729
42000;389;15425;7;444479;535172;90693
42000;70;15510;7;407462;581135;173673
42000;387;15446;8;455880;533132;77252
42000;193;15426;8;432579;510820;78241
42000;56;15410;8;509788;600275;90487
42000;153;15411;8;507501;600919;93418
