10;29;7
20;81;19
30;118;35
40;212;56
50;267;76
60;328;120
70;398;138
80;420;124
90;526;160
100;686;252
110;669;204
120;798;215
130;893;230
140;937;360
150;1056;362
160;1112;295
170;1226;442
180;1337;365
190;1401;466
200;1449;480
1000;10172;3336
2000;23026;7772
3000;35969;11552
4000;51579;18708
5000;63551;20966
6000;80494;27513
7000;99111;33989
8000;111837;38142
9000;133949;36005
10000;139990;47946
11000;161725;49543
12000;177754;60042
13000;189773;63507
14000;216935;71769
15000;234730;78892
16000;245175;77003
17000;259760;80333
18000;282740;81713
19000;319382;84967
20000;320229;100505
